id;sa_id;mac_addr;buy_date;product_id;product_name;pkg_yn;genre_name;buy_amt;cp_use_yn;pvs_trans_yn;refund_yn;pvs_trans_no;expired_date;alwnce_charge;balace;offer_cd;ofr_seq;error_msg;appl_type
1;Central;firewall Account;Sweden Intelligent;Intelligent empower experiences;lavender Intelligent haptic;Lead Architect;morph Granite infrastructures;Representative;Rustic calculate Brand;Soft copy schemas;Enhanced Pizza Corner;neutral Designer;knowledge;Shirt productize;North Loan Dirham;Oregon Iran;Frozen local;Anguilla;generate
2;Rwanda Global;invoice calculate payment;iterate;Direct transmitter Buckinghamshire;driver;integrated Right-sized leading-edge;Front-line invoice Computer;Qatar Account Money;up Berkshire;Wooden;grey Soft;Granite Producer;Buckinghamshire Soap;Borders matrix;Freeway Account;Automotive Tactics fuchsia;innovative Account;strategic Quality;Persistent transparent
3;synthesize;International driver Future-proofed;bypassing Estonia;revolutionary;reintermediate generate;Cotton;AGP Refined extend;COM;object-oriented;PNG green Fresh;Island Computers;copying;Universal;Wooden payment;Central reboot payment;mission-critical Buckinghamshire Marino;streamline;Account neural;fresh-thinking
4;Guarani microchip;mobile hack Cambridgeshire;Concrete Lebanese deliverables;Port Devolved state;Industrial Rubber olive;invoice payment;Mouse Drives;Turkmenistan vortals optical;Illinois Nevada edge;Computer;red;payment port;Car;Secured;Arab application Vermont;Investment Team-oriented;Integration best-of-breed;magenta user-centric;payment Account primary
5;SMS lavender;Wyoming Gorgeous database;Algerian schemas withdrawal;Rustic Cambridgeshire;Research;Tunisia Proactive users;Credit Dinar;Product AGP;Computers;Account Missouri;Gorgeous;optical;stable bypassing invoice;digital Soap;digital;Dynamic encryption Associate;upward-trending Pre-emptive;Gloves;Lead Tuvalu upward-trending
6;Customizable;deposit Shoes;functionalities;Kuwait Executive;TCP;challenge granular;program payment;Program Cambridgeshire Lats;Fork Customer Ways;Intelligent Chief;responsive mobile;transmitter;dynamic;Islands;red Idaho Vermont;data-warehouse executive;Optimization;leverage Avon transmitting;payment Universal
7;New demand-driven synergies;grid-enabled Haven;Research;reboot Sri;Darussalam Mississippi firmware;Forward Stream cross-media;Chief Glens Practical;drive quantify input;Integration CFP;Cambridgeshire models Credit;concept Cambridgeshire;Strategist Interactions Fantastic;payment Legacy;Soap Intelligent;Bacon;Investment yellow;Assurance Ridges;Supervisor Auto;Shores B2B tan
8;lime copying Fresh;transform Communications Cotton;Buckinghamshire;Handcrafted;out-of-the-box Summit;Integration;black withdrawal;withdrawal;PNG Concrete withdrawal;Liaison;capacitor Buckinghamshire Buckinghamshire;Lead Gorgeous payment;Dakota;blue;multi-byte Horizontal;cross-platform Industrial invoice;up;Oregon;sexy Pakistan
9;redefine Lead Home;overriding utilisation;leverage Chicken transmitter;Granite Mexico;challenge HDD hard;Station orchid;fuchsia Card;override Soap;system Frozen Generic;Tactics haptic Chicken;Gorgeous solution mobile;Clothing bypassing;Concrete synergize;Jewelery;communities Peso;morph users;FTP Customer;Hat;Music
10;Assurance TCP Dominica;maximize;Concrete Generic Toys;User-friendly incentivize;system;Home multi-state Soft;invoice Awesome invoice;Account database;magenta GB;Tools firewall HDD;Supervisor salmon;Account bypass;Dakota initiatives;Cotton Legacy;Sausages;Wooden overriding;niches Concrete Extensions;wireless;neural program Landing
